Km,RX_HorizontalWearConsumption,LX_HorizontalWearConsumption,RX_VerticalWear,LX_VerticalWear,Latitude,Longitude
337.065,2.19,1.69,-7.52,-2.24,60.74394482,7.13172987
337.07,1.99,1.37,-8.21,-2.24,60.74392923,7.13181597
337.075,1.95,1.39,-7.43,-2.09,60.7439119,7.13190186
337.08,1.85,1.45,-6.31,-2.32,60.74389245,7.13198573
337.085,1.39,1.44,-6.14,-2.24,60.74387228,7.13206902
337.09,1.81,1.13,-5.59,-1.89,60.74385116,7.13215134
337.095,-0.05,0.86,-3.71,-1.35,60.74382792,7.13223107
337.1,0.0,0.97,-3.87,-1.35,60.74380418,7.13230951
337.105,2.19,0.57,-5.27,-1.02,60.74377906,7.13239147
337.11,2.65,0.44,-5.29,-0.91,60.74375537,7.13246453
337.115,2.57,0.16,-4.87,-0.92,60.74372946,7.13253949
337.12,2.71,0.16,-4.5,-0.96,60.74370162,7.13261707
337.125,2.55,-0.12,-3.72,-1.27,60.74367421,7.13269053
337.13,2.59,-0.21,-3.63,-2.01,60.74364811,7.13275869
337.135,2.51,-0.18,-3.29,-2.89,60.74361977,7.1328294
337.14,0.26,-0.31,-1.6,-0.27,60.74359062,7.13289867
337.145,0.41,-0.08,-1.5,-0.5,60.74356134,7.13296837
337.15,0.39,-0.17,-1.64,-0.45,60.74353158,7.13303717
337.155,0.16,-0.02,-1.53,-0.19,60.74350106,7.13310533
337.16,0.47,0.17,-1.62,-0.36,60.74347081,7.13317172
337.165,0.6,0.05,-1.57,-0.2,60.74343991,7.13323887
337.17,0.02,-0.24,-1.29,-0.31,60.7434062,7.1333106
337.175,0.21,-0.06,-1.43,-0.36,60.74337753,7.13337035
337.18,0.25,-0.12,-1.57,-0.18,60.74334625,7.13343503
337.185,0.08,-0.23,-1.39,-0.22,60.74331471,7.13349878
337.19,0.18,-0.15,-1.37,-0.29,60.7432827,7.1335617
337.195,0.21,-0.07,-1.56,-0.36,60.74325177,7.13362209
337.2,0.13,-0.02,-2.35,-2.0,60.74322246,7.13367793
337.205,0.14,-0.1,-2.42,-1.8,60.74318513,7.13374828
337.21,-0.07,-0.1,-2.24,-1.65,60.74315176,7.13380934
337.215,-0.02,0.15,-2.84,-1.54,60.74311803,7.13386997
337.22,-0.1,-0.57,-2.99,-3.63,60.74308408,7.13392963
337.225,0.05,-0.38,-2.43,-5.06,60.74305223,7.1339851
337.23,0.28,0.18,-2.84,-3.23,60.74302099,7.13403853
337.235,0.33,0.24,-3.54,-3.29,60.74298022,7.13410625
337.24,0.2,-0.01,-2.76,-2.14,60.74294504,7.13416414
337.245,0.08,0.04,-2.5,-1.66,60.74290954,7.13422142
337.25,0.1,-0.18,-3.71,-2.13,60.74287406,7.13427691
337.255,0.16,-0.07,-3.98,-2.04,60.7428382,7.13433181
337.26,0.4,-0.05,-2.77,-1.9,60.74280216,7.13438568
337.265,0.21,-0.02,-2.49,-1.77,60.74276567,7.13443841
337.27,0.4,-0.06,-1.57,-0.16,60.74272484,7.13449749
337.275,0.09,0.01,-1.37,-1.19,60.74269203,7.13454458
337.28,-0.12,-0.03,-1.41,-1.19,60.7426552,7.13459444
337.285,0.07,-0.05,-2.66,-2.88,60.7426181,7.13464504
337.29,-0.04,0.03,-2.88,-2.82,60.74258067,7.13469546
337.295,0.05,0.05,-2.75,-2.5,60.74254275,7.13474362
337.3,0.1,0.06,-2.71,-2.74,60.74250432,7.13479162
337.305,0.38,0.07,-3.27,-2.28,60.7424657,7.13483962
337.31,-0.09,-0.02,-2.56,-2.21,60.74242724,7.13488625
337.315,-0.12,-0.09,-2.41,-1.97,60.74238993,7.13493074
337.32,0.05,-0.11,-2.97,-2.26,60.74235108,7.13497634
337.325,0.03,-0.07,-2.88,-2.32,60.74231213,7.13502168
337.33,0.04,-0.07,-2.2,-2.08,60.74227668,7.13506245
337.335,0.2,0.03,-1.98,-2.11,60.74223397,7.13511176
337.34,0.29,-0.03,-2.11,-2.02,60.74219493,7.13515664
337.345,0.01,-0.01,-1.94,-2.01,60.74215595,7.13520164
337.35,0.25,0.01,-1.69,-2.21,60.74211747,7.13524774
337.355,0.98,-0.12,-2.02,-2.28,60.74208313,7.13529044
337.36,1.13,-0.03,-2.06,-3.01,60.7420409,7.13534356
337.365,1.45,-0.03,-2.39,-2.91,60.74200307,7.13539304
337.37,1.68,0.07,-2.43,-3.9,60.74196269,7.13544841
337.375,1.8,0.04,-2.62,-3.78,60.74192985,7.13549543
337.38,1.89,0.1,-2.67,-4.12,60.74189676,7.13554352
337.385,2.15,0.19,-2.99,-4.23,60.74185884,7.13560321
337.39,1.21,0.37,-3.16,-4.73,60.74182125,7.13566416
337.395,2.72,0.46,-4.52,-5.6,60.74178706,7.13572158
337.4,4.4,0.61,-5.28,-6.5,60.74175318,7.13578252
337.405,2.47,0.0,-3.34,-5.21,60.74171998,7.13584426
337.41,2.59,-0.06,-2.85,-4.49,60.74168761,7.1359057
337.415,3.16,0.1,-3.22,-4.97,60.74165613,7.13595158
337.42,2.62,-0.07,-2.99,-5.04,60.74163213,7.13602416
337.46,4.78,-0.07,-4.55,-6.35,60.74140732,7.13661772
337.465,4.83,-0.07,-4.54,-6.77,60.74134644,7.13670662
337.47,4.79,-0.08,-4.49,-6.11,60.74130433,7.13677279
337.475,5.18,-0.17,-4.78,-6.77,60.741295,7.13684442
337.48,4.89,-0.08,-4.63,-6.34,60.74128953,7.13693551
337.485,5.01,0.06,-4.72,-6.6,60.74127764,7.13702339
337.49,4.96,-0.01,-4.38,-6.42,60.741263,7.13711355
337.495,5.24,-0.03,-4.32,-7.06,60.74124768,7.13720758
337.5,5.36,0.01,-4.59,-7.06,60.74123419,7.13729355
337.505,5.13,0.01,-4.49,-6.58,60.74122101,7.13738383
337.51,1.24,-0.02,-2.85,-5.53,60.74120881,7.13747311
337.515,2.52,-0.03,-6.91,-5.41,60.74119754,7.13756244
337.52,3.93,-0.04,-3.29,-5.36,60.74118668,7.13765205
337.525,3.78,0.0,-3.73,-6.04,60.74117669,7.13774216
337.53,3.69,0.22,-4.24,-6.07,60.7411683,7.13783262
337.535,3.97,0.07,-4.32,-6.0,60.7411609,7.13792312
337.54,4.4,0.01,-5.45,-7.19,60.74115415,7.13801379
337.545,4.74,0.1,-5.05,-6.73,60.74114875,7.13811244
337.55,4.72,0.08,-5.44,-6.32,60.74114585,7.13819446
337.555,4.59,0.07,-5.48,-7.26,60.74114406,7.138277
337.56,4.51,0.15,-5.48,-7.0,60.741143,7.13838019
337.565,4.58,0.02,-5.5,-7.21,60.74114398,7.13847233
337.57,5.0,0.14,-5.81,-7.9,60.74114664,7.13857233
337.575,5.36,0.07,-5.85,-8.17,60.74114975,7.13865662
337.58,5.47,0.02,-5.89,-7.91,60.74115501,7.13874808
337.585,5.5,0.06,-5.51,-8.03,60.74116143,7.13883942
337.59,6.05,0.07,-5.5,-7.45,60.74116945,7.13892999
337.595,5.85,0.08,-5.49,-7.53,60.74117988,7.13902767
337.6,5.53,0.14,-5.55,-7.36,60.74118987,7.13910876
337.605,5.32,-0.02,-5.47,-7.1,60.74120193,7.1391972
337.61,6.05,0.11,-6.33,-7.84,60.74121585,7.13928448
337.615,6.06,-0.02,-6.53,-7.89,60.74123112,7.1393708
337.62,5.9,0.1,-6.3,-7.21,60.74124771,7.13945608
337.625,5.91,-0.01,-6.38,-8.1,60.74126552,7.13954052
337.63,4.1,0.01,-5.36,-7.55,60.7412856,7.1396229
337.635,5.79,-0.05,-7.29,-8.82,60.74130637,7.13970448
337.64,6.74,0.09,-6.63,-6.31,60.74132818,7.13978475
337.645,5.99,0.59,-5.94,-8.08,60.74135184,7.13986292
337.65,6.34,0.52,-6.47,-8.42,60.74137678,7.13993973
337.655,6.78,0.8,-7.04,-8.84,60.7414023,7.14001545
337.66,6.74,1.17,-6.9,-8.28,60.74142952,7.1400886
337.665,6.75,1.27,-6.72,-9.38,60.741458,7.14015967
337.67,6.44,2.05,-6.06,-8.75,60.74148745,7.14022878
337.675,6.62,2.5,-6.65,-8.35,60.74151801,7.14029602
337.68,6.79,2.58,-6.47,-7.71,60.74154933,7.1403615
337.685,7.47,2.34,-6.53,-7.99,60.74158174,7.14042428
337.69,8.3,2.58,-8.65,-9.02,60.74161522,7.14048496
337.695,8.78,2.39,-8.2,-8.9,60.74164958,7.14054379
337.7,8.42,2.45,-7.72,-8.59,60.7416852,7.14060005
337.705,8.74,2.01,-8.66,-9.83,60.74172143,7.14065368
337.71,8.11,2.26,-7.72,-8.77,60.74175859,7.1407048
337.715,8.07,3.05,-7.6,-9.0,60.74179643,7.14075378
337.72,8.7,2.82,-7.93,-8.55,60.7418354,7.14079953
337.725,8.29,2.1,-8.33,-10.13,60.74187512,7.14084265
337.73,7.44,2.68,-7.18,-8.98,60.74191526,7.1408835
337.735,7.09,2.46,-7.29,-9.84,60.74195621,7.14092113
337.74,7.4,3.07,-7.97,-9.32,60.74199766,7.14095551
337.745,8.2,2.69,-8.41,-9.75,60.74203936,7.14098794
337.75,4.9,1.44,-6.09,-7.86,60.74208199,7.14101724
337.755,3.02,0.0,-5.08,-6.53,60.742125,7.14104295
337.76,4.41,-0.07,-5.95,-7.3,60.74216832,7.14106648
337.765,4.33,-0.08,-5.58,-7.07,60.74221238,7.14108721
337.77,5.77,0.07,-5.94,-8.07,60.74225642,7.14110362
337.775,6.16,0.1,-5.69,-8.1,60.74230085,7.14111806
337.78,6.03,0.2,-5.28,-8.53,60.7423453,7.14112972
337.785,6.27,0.16,-4.88,-7.52,60.74238996,7.14113718
337.79,5.93,0.02,-5.56,-8.4,60.74243479,7.14114183
337.795,6.26,0.11,-6.13,-7.71,60.7424799,7.141144
337.8,7.79,0.05,-7.79,-8.28,60.74252476,7.14114253
337.805,9.25,0.03,-7.79,-7.54,60.74256991,7.1411378
337.81,8.91,-0.01,-8.21,-7.72,60.74261481,7.14113063
337.815,8.47,0.0,-7.6,-7.96,60.74265941,7.1411201
337.82,8.99,0.13,-8.72,-9.14,60.74270392,7.14110658
337.825,8.61,0.03,-8.32,-5.71,60.74274836,7.14109031
337.83,8.46,0.04,-7.9,-7.51,60.74279225,7.14107054
337.835,8.24,0.1,-8.26,-7.99,60.74283567,7.1410481
337.84,6.95,0.07,-7.13,-8.32,60.74287932,7.14102277
337.845,6.94,0.06,-8.2,-9.09,60.74292227,7.1409943
337.85,6.32,0.09,-7.39,-7.72,60.74296478,7.14096305
337.855,6.05,0.09,-7.09,-8.55,60.74300624,7.14092911
337.86,6.76,0.0,-6.87,-7.23,60.74304731,7.14089287
337.865,3.32,0.02,-5.35,-7.88,60.74308775,7.14085328
337.87,2.85,-0.03,-4.07,-7.33,60.74312771,7.1408112
337.875,3.33,-0.04,-3.64,-7.82,60.74316672,7.14076635
337.88,3.49,-0.15,-4.06,-7.6,60.74320516,7.14071871
337.885,3.41,-0.24,-4.08,-6.09,60.74324287,7.14066833
337.89,3.53,0.03,-3.8,-5.79,60.74327952,7.14061553
337.895,3.28,-0.1,-3.59,-5.45,60.74331548,7.14055981
337.9,3.12,-0.14,-3.82,-5.61,60.74335068,7.14050202
337.905,2.66,-0.12,-3.57,-5.26,60.7433847,7.140442
337.91,2.93,-0.12,-3.66,-5.78,60.74341765,7.14037951
337.915,2.97,-0.11,-3.65,-5.58,60.74345,7.14031494
337.92,2.77,-0.04,-3.32,-5.09,60.74348089,7.14024791
337.925,2.4,-0.15,-3.41,-4.87,60.74351117,7.14017948
337.93,2.41,-0.13,-3.07,-4.71,60.74354021,7.14010901
337.935,1.75,0.1,-3.02,-4.18,60.7435683,7.14003704
337.94,0.75,0.5,-2.77,-3.4,60.74359551,7.13996353
337.945,0.24,1.12,-2.72,-2.42,60.74362272,7.13988728
337.95,0.11,0.59,-3.76,-2.41,60.7436482,7.13981455
337.955,0.23,0.87,-4.37,-3.29,60.74367369,7.13973911
337.96,0.11,1.12,-4.5,-4.87,60.74370036,7.13966153
337.965,0.3,1.08,-4.41,-4.69,60.74372528,7.13958872
337.97,0.28,1.27,-4.22,-4.7,60.74375091,7.13951344
337.975,0.52,0.7,-3.96,-4.67,60.74377679,7.13943814
337.98,0.09,-0.14,-3.42,-5.23,60.74380257,7.13936283
337.985,-0.09,2.29,-2.43,-3.44,60.74382837,7.13928739
337.99,-0.07,6.54,-2.89,-3.13,60.74385402,7.13921209
337.995,-0.29,6.18,-2.61,-3.65,60.74387968,7.13913667
338.0,-0.05,6.22,-2.76,-3.85,60.74390543,7.13906147
338.005,0.05,6.43,-3.02,-4.26,60.74393136,7.13898621
338.01,0.24,6.2,-1.5,-3.36,60.74395704,7.13891074
338.015,0.33,6.56,-1.45,-4.06,60.74398269,7.13883574
338.02,0.0,6.8,-2.95,-3.32,60.74400871,7.13876067
338.025,-0.18,6.34,-2.81,-3.26,60.744033,7.13868944
338.03,-0.13,6.71,-2.66,-2.75,60.74406049,7.13861017
338.035,-0.01,7.07,-2.3,-2.53,60.74408625,7.1385352
338.04,-0.14,7.4,-2.07,-2.83,60.74411203,7.13845991
338.045,-0.04,6.9,-2.12,-2.51,60.74413813,7.13838522
338.05,-0.22,7.25,-2.26,-2.79,60.7441638,7.13831039
338.055,-0.19,7.11,-2.04,-3.06,60.74418925,7.13823549
338.06,-0.27,6.41,-2.07,-2.74,60.74421497,7.13816097
338.065,-0.08,4.81,-2.28,-2.39,60.74424055,7.13808591
338.07,-0.01,4.39,-2.06,-2.46,60.7442662,7.13801105
338.075,0.01,4.37,-1.92,-1.95,60.74429212,7.13793634
338.08,0.03,3.96,-1.93,-2.08,60.7443179,7.13786109
338.085,-0.16,3.11,-1.81,-1.99,60.74434372,7.13778638
338.09,-0.13,2.25,-1.57,-1.96,60.74439834,7.13763115
338.095,0.1,1.66,-2.03,-1.75,60.74439834,7.13763115
338.1,0.11,-0.15,-1.34,-1.1,60.74442255,7.13756175
338.105,0.32,-0.06,-1.52,-1.16,60.74444879,7.13748714
338.11,-0.21,-0.01,-3.18,-2.07,60.74447495,7.13741334
338.115,-0.17,-0.08,-2.95,-2.83,60.74450099,7.13733886
338.12,-0.24,-0.11,-2.89,-2.4,60.74452714,7.13726451
338.125,-0.32,-0.13,-2.89,-2.71,60.74455309,7.13719068
338.13,-0.01,-0.15,-3.34,-2.77,60.74457864,7.13711634
338.135,-0.1,-0.22,-3.55,-3.23,60.74460497,7.13704176
338.14,-0.31,-0.24,-3.12,-3.38,60.74463127,7.1369668
338.145,0.04,-0.22,-3.26,-3.18,60.7446575,7.13689236
338.15,-0.13,-0.22,-3.2,-3.33,60.74468366,7.13681738
338.155,0.0,-0.29,-2.8,-2.81,60.74470959,7.13674293
338.16,-0.08,0.07,-3.06,-2.68,60.74473568,7.13666811
338.165,-0.15,-0.03,-2.84,-2.35,60.74476174,7.13659332
338.17,-0.1,0.08,-2.48,-2.44,60.7447881,7.13651811
338.175,-0.06,-0.1,-3.19,-2.41,60.74481417,7.136443
338.18,-0.11,-0.04,-2.99,-2.47,60.74484009,7.13636804
338.185,0.01,0.12,-1.56,-1.51,60.7448661,7.13629347
338.19,0.08,-0.14,-2.01,-1.6,60.74489236,7.13621856
338.195,-0.15,-0.13,-2.25,-2.32,60.74491861,7.13614353
338.2,-0.14,-0.15,-2.0,-2.27,60.74494483,7.13606848
338.205,-0.04,0.25,-3.17,-3.63,60.74497082,7.13599351
338.21,0.13,-0.02,-1.23,-0.61,60.74499663,7.13591842
338.215,-0.01,-0.02,-1.42,-0.86,60.7450224,7.13584373
338.22,0.05,0.03,-1.18,-0.52,60.74504826,7.13576826
338.225,0.05,0.07,-1.4,-0.62,60.74507414,7.13569235
338.23,0.12,0.02,-1.14,-0.59,60.74509962,7.13561598
338.235,0.29,0.1,-0.56,-0.97,60.7451254,7.135539
338.24,0.33,0.18,-0.03,-1.09,60.74515031,7.13546078
338.245,0.62,0.14,-0.52,-1.56,60.74517407,7.13538102
338.25,0.35,0.11,-0.37,-1.32,60.74519668,7.13530027
338.255,0.56,0.18,-0.73,-1.53,60.74521809,7.13521802
338.26,0.94,0.15,-1.07,-1.76,60.74523756,7.13513465
338.265,0.66,0.09,-0.43,-1.56,60.74525548,7.13505024
338.27,0.92,0.13,-1.22,-1.47,60.74527376,7.13496385
338.275,1.01,0.17,-1.17,-1.61,60.74528758,7.13488095
338.28,0.99,0.18,-1.14,-1.45,60.74530223,7.134803
339.91,1.11,0.46,-1.89,-1.13,60.74705271,7.13555828
339.915,0.91,0.41,-2.02,-1.14,60.74707995,7.13558321
339.92,0.88,0.29,-1.78,-1.03,60.74711396,7.13560889
339.925,0.99,0.13,-1.62,-0.99,60.74715654,7.13563463
339.93,0.93,0.4,-1.92,-1.17,60.74719667,7.13565974
339.935,1.02,0.1,-1.92,-1.27,60.74723895,7.13568079
339.94,1.08,0.15,-1.94,-1.28,60.74728291,7.1357013
340.465,-0.02,0.54,-0.76,-0.97,60.74786386,7.12898265
340.475,-0.02,0.73,-0.76,-1.08,60.74778702,7.12866977
340.48,-0.02,0.57,-0.76,-1.15,60.74783717,7.12861148
340.485,-0.02,0.58,-0.76,-0.95,60.74783606,7.12851333
340.49,-0.02,0.66,-0.76,-1.18,60.74782687,7.12840627
340.495,-0.02,0.46,-0.76,-1.05,60.74781797,7.12830545
340.5,-0.02,0.59,-0.76,-1.01,60.74781952,7.12821222
340.505,-0.02,0.55,-0.76,-0.89,60.74782452,7.1281208
340.51,-0.02,0.55,-0.76,-0.88,60.74783132,7.12803377
340.515,-0.02,0.7,-0.76,-1.2,60.74782657,7.12793162
340.52,0.55,0.54,-0.68,-0.69,60.74783589,7.12789182
340.525,0.64,0.21,-0.48,-0.64,60.74785022,7.12780973
340.53,0.32,0.02,0.09,-0.61,60.74786441,7.12772443
340.535,0.31,0.07,-0.27,-0.61,60.74787876,7.12763863
340.54,0.29,0.16,-0.41,-0.8,60.74789307,7.12755208
340.545,0.39,0.27,-0.54,-0.85,60.74790757,7.12746585
340.55,0.22,0.2,-0.5,-0.61,60.74792188,7.1273786
340.555,0.56,0.18,-0.67,-0.69,60.74793605,7.12729235
340.56,0.35,0.17,-0.64,-0.79,60.74794967,7.12720573
340.565,0.36,0.16,-0.59,-0.82,60.74796453,7.12712009
340.57,0.56,0.12,-2.37,-0.74,60.74797946,7.12703415
340.575,0.6,0.13,-0.5,-0.88,60.74799421,7.12694805
340.58,0.67,0.14,-0.36,-0.82,60.74800904,7.1268617
340.585,0.38,0.22,-0.4,-0.85,60.74802385,7.12677456
340.59,0.6,0.18,-0.37,-0.56,60.74803828,7.12668738
340.595,0.3,0.22,0.0,-0.7,60.74805302,7.1266009
340.6,0.63,0.12,-0.32,-0.75,60.74806772,7.12651495
340.605,0.71,0.16,-0.17,-0.81,60.74808214,7.1264293
340.61,0.77,0.12,-0.54,-1.07,60.74809561,7.12634306
340.615,0.57,0.06,-0.41,-0.94,60.74811001,7.1262566
340.62,0.45,0.14,-0.11,-1.14,60.74812319,7.12616955
340.625,0.53,0.13,-0.5,-1.45,60.74813486,7.12608209
